Time(s),temp_kp,temp_ki,temp_kd,temp_sw,temp_tar,temp_value,temp_current,timestamp
0.000000,20.000000,0.500000,0.300000,1.000000,40.000000,42.647205,0.000000,62.235561
0.050000,20.000000,0.500000,0.300000,1.000000,40.000000,42.629566,0.000000,62.285553
0.100000,20.000000,0.500000,0.300000,1.000000,40.000000,42.608421,0.000000,62.345543
0.150000,20.000000,0.500000,0.300000,1.000000,40.000000,42.594337,0.000000,62.385536
0.200000,20.000000,0.500000,0.300000,1.000000,40.000000,42.576752,0.000000,62.435528
0.250000,20.000000,0.500000,0.300000,1.000000,40.000000,42.559181,0.000000,62.485519
0.300000,20.000000,0.500000,0.300000,1.000000,40.000000,42.541630,0.000000,62.535511
0.350000,20.000000,0.500000,0.300000,1.000000,40.000000,42.520588,0.000000,62.595501
0.400000,20.000000,0.500000,0.300000,1.000000,40.000000,42.506577,0.000000,62.635494
0.450000,20.000000,0.500000,0.300000,1.000000,40.000000,42.489079,0.000000,62.685486
0.500000,20.000000,0.500000,0.300000,1.000000,40.000000,42.468102,0.000000,62.745476
0.550000,20.000000,0.500000,0.300000,1.000000,40.000000,42.450642,0.000000,62.795467
0.600000,20.000000,0.500000,0.300000,1.000000,40.000000,42.433197,0.000000,62.845459
0.650000,20.000000,0.500000,0.300000,1.000000,40.000000,42.415771,0.000000,62.895451
0.700000,20.000000,0.500000,0.300000,1.000000,40.000000,42.398361,0.000000,62.945442
0.750000,20.000000,0.500000,0.300000,1.000000,40.000000,42.380970,0.000000,62.995434
0.800000,20.000000,0.500000,0.300000,1.000000,40.000000,42.363594,0.000000,63.045425
0.850000,20.000000,0.500000,0.300000,1.000000,40.000000,42.342770,0.000000,63.105415
0.900000,20.000000,0.500000,0.300000,1.000000,40.000000,42.328899,0.000000,63.145409
0.950000,20.000000,0.500000,0.300000,1.000000,40.000000,42.308113,0.000000,63.205399
1.000000,20.000000,0.500000,0.300000,1.000000,40.000000,42.294273,0.000000,63.245392
1.050000,20.000000,0.500000,0.300000,1.000000,40.000000,42.273529,0.000000,63.305382
1.100000,20.000000,0.500000,0.300000,1.000000,40.000000,42.256264,0.000000,63.355373
1.150000,20.000000,0.500000,0.300000,1.000000,40.000000,42.242462,0.000000,63.395367
1.200000,20.000000,0.500000,0.300000,1.000000,40.000000,42.221783,0.000000,63.455357
1.250000,20.000000,0.500000,0.300000,1.000000,40.000000,42.208008,0.000000,63.495350
1.300000,20.000000,0.500000,0.300000,1.000000,40.000000,42.187370,0.000000,63.555340
1.350000,20.000000,0.500000,0.300000,1.000000,40.000000,42.166756,0.000000,63.615330
1.400000,20.000000,0.500000,0.300000,1.000000,40.000000,42.149597,0.000000,63.665321
1.450000,20.000000,0.500000,0.300000,1.000000,40.000000,42.132454,0.000000,63.715313
1.500000,20.000000,0.500000,0.300000,1.000000,40.000000,42.115326,0.000000,63.765305
1.550000,20.000000,0.500000,0.300000,1.000000,40.000000,42.098217,0.000000,63.815296
1.600000,20.000000,0.500000,0.300000,1.000000,40.000000,42.081127,0.000000,63.865288
1.650000,20.000000,0.500000,0.300000,1.000000,40.000000,42.060638,0.000000,63.925278
1.700000,20.000000,0.500000,0.300000,1.000000,40.000000,42.046997,0.000000,63.965271
1.750000,20.000000,0.500000,0.300000,1.000000,40.000000,42.029957,0.000000,64.015266
1.800000,20.000000,0.500000,0.300000,1.000000,40.000000,42.012932,0.000000,64.065277
1.850000,20.000000,0.500000,0.300000,1.000000,40.000000,41.995926,0.000000,64.115288
1.900000,20.000000,0.500000,0.300000,1.000000,40.000000,41.975540,0.000000,64.175301
1.950000,20.000000,0.500000,0.300000,1.000000,40.000000,41.961964,0.000000,64.215309
2.000000,20.000000,0.500000,0.300000,1.000000,40.000000,41.941620,0.000000,64.275322
2.050000,20.000000,0.500000,0.300000,1.000000,40.000000,41.924683,0.000000,64.325333
2.100000,20.000000,0.500000,0.300000,1.000000,40.000000,41.907764,0.000000,64.375343
2.150000,20.000000,0.500000,0.300000,1.000000,40.000000,41.890865,0.000000,64.425354
2.200000,20.000000,0.500000,0.300000,1.000000,40.000000,41.870605,0.000000,64.485367
2.250000,20.000000,0.500000,0.300000,1.000000,40.000000,41.857113,0.000000,64.525375
2.300000,20.000000,0.500000,0.300000,1.000000,40.000000,41.840263,0.000000,64.575386
2.350000,20.000000,0.500000,0.300000,1.000000,40.000000,41.820065,0.000000,64.635399
2.400000,20.000000,0.500000,0.300000,1.000000,40.000000,41.806610,0.000000,64.675407
2.450000,20.000000,0.500000,0.300000,1.000000,40.000000,41.786453,0.000000,64.735420
2.500000,20.000000,0.500000,0.300000,1.000000,40.000000,41.773026,0.000000,64.775429
2.550000,20.000000,0.500000,0.300000,1.000000,40.000000,41.752907,0.000000,64.835442
2.600000,20.000000,0.500000,0.300000,1.000000,40.000000,41.736160,0.000000,64.885452
2.650000,20.000000,0.500000,0.300000,1.000000,40.000000,41.722778,0.000000,64.925461
2.700000,20.000000,0.500000,0.300000,1.000000,40.000000,41.702721,0.000000,64.985474
2.750000,20.000000,0.500000,0.300000,1.000000,40.000000,41.686024,0.000000,65.035484
2.800000,20.000000,0.500000,0.300000,1.000000,40.000000,41.669346,0.000000,65.085495
2.850000,20.000000,0.500000,0.300000,1.000000,40.000000,41.652683,0.000000,65.135506
2.900000,20.000000,0.500000,0.300000,1.000000,40.000000,41.632710,0.000000,65.195518
2.950000,20.000000,0.500000,0.300000,1.000000,40.000000,41.619404,0.000000,65.235527
3.000000,20.000000,0.500000,0.300000,1.000000,40.000000,41.602791,0.000000,65.285538
3.050000,20.000000,0.500000,0.300000,1.000000,40.000000,41.582878,0.000000,65.345551
3.100000,20.000000,0.500000,0.300000,1.000000,40.000000,41.569618,0.000000,65.385559
3.150000,20.000000,0.500000,0.300000,1.000000,40.000000,41.549744,0.000000,65.445572
3.200000,20.000000,0.500000,0.300000,1.000000,40.000000,41.533199,0.000000,65.495583
3.250000,20.000000,0.500000,0.300000,1.000000,40.000000,41.516674,0.000000,65.545593
3.300000,20.000000,0.500000,0.300000,1.000000,40.000000,41.500164,0.000000,65.595604
3.350000,20.000000,0.500000,0.300000,1.000000,40.000000,41.483669,0.000000,65.645615
3.400000,20.000000,0.500000,0.300000,1.000000,40.000000,41.467190,0.000000,65.695625
3.450000,20.000000,0.500000,0.300000,1.000000,40.000000,41.450729,0.000000,65.745636
3.500000,20.000000,0.500000,0.300000,1.000000,40.000000,41.431000,0.000000,65.805649
3.550000,20.000000,0.500000,0.300000,1.000000,40.000000,41.417862,0.000000,65.845657
3.600000,20.000000,0.500000,0.300000,1.000000,40.000000,41.398170,0.000000,65.905670
3.650000,20.000000,0.500000,0.300000,1.000000,40.000000,41.381779,0.000000,65.955681
3.700000,20.000000,0.500000,0.300000,1.000000,40.000000,41.368675,0.000000,65.995689
3.750000,20.000000,0.500000,0.300000,1.000000,40.000000,41.349041,0.000000,66.055702
3.800000,20.000000,0.500000,0.300000,1.000000,40.000000,41.335964,0.000000,66.095711
3.850000,20.000000,0.500000,0.300000,1.000000,40.000000,41.316372,0.000000,66.155724
3.900000,20.000000,0.500000,0.300000,1.000000,40.000000,41.303326,0.000000,66.195732
3.950000,20.000000,0.500000,0.300000,1.000000,40.000000,41.280514,0.000000,66.265747
4.000000,20.000000,0.500000,0.300000,1.000000,40.000000,41.264240,0.000000,66.315758
4.050000,20.000000,0.500000,0.300000,1.000000,40.000000,41.251232,0.000000,66.355766
4.100000,20.000000,0.500000,0.300000,1.000000,40.000000,41.231739,0.000000,66.415779
