Time(s),temp_kp,temp_ki,temp_kd,temp_sw,temp_tar,temp_value,temp_current,timestamp
0.000000,8.000000,0.300000,1.000000,1.000000,50.000000,51.419518,0.000799,330.691437
0.050000,8.000000,0.300000,1.000000,1.000000,50.000000,51.393108,0.000472,330.741486
0.100000,8.000000,0.300000,1.000000,1.000000,50.000000,51.366726,0.000279,330.791534
0.150000,8.000000,0.300000,1.000000,1.000000,50.000000,51.335102,0.000148,330.851593
0.200000,8.000000,0.300000,1.000000,1.000000,50.000000,51.314041,0.000097,330.891632
0.250000,8.000000,0.300000,1.000000,1.000000,50.000000,51.282478,0.000052,330.951691
0.300000,8.000000,0.300000,1.000000,1.000000,50.000000,51.256207,0.000030,331.001740
0.350000,8.000000,0.300000,1.000000,1.000000,50.000000,51.235207,0.000020,331.041779
0.400000,8.000000,0.300000,1.000000,1.000000,50.000000,51.203743,0.000011,331.101837
0.450000,8.000000,0.300000,1.000000,1.000000,50.000000,51.177547,0.000006,331.151886
0.500000,8.000000,0.300000,1.000000,1.000000,50.000000,51.156612,0.000004,331.191925
0.550000,8.000000,0.300000,1.000000,1.000000,50.000000,51.120014,0.000002,331.261993
0.600000,8.000000,0.300000,1.000000,1.000000,50.000000,51.099125,0.000001,331.302032
0.650000,8.000000,0.300000,1.000000,1.000000,50.000000,51.067822,0.000001,331.362091
0.700000,8.000000,0.300000,1.000000,1.000000,50.000000,51.041763,0.000000,331.412140
0.750000,8.000000,0.300000,1.000000,1.000000,50.000000,51.010529,0.000000,331.472198
0.800000,8.000000,0.300000,1.000000,1.000000,50.000000,50.989727,0.000000,331.512238
0.850000,8.000000,0.300000,1.000000,1.000000,50.000000,50.958553,0.000000,331.572296
0.900000,8.000000,0.300000,1.000000,1.000000,50.000000,50.932606,0.000000,331.622345
0.950000,8.000000,0.300000,1.000000,1.000000,50.000000,50.911865,0.000000,331.662384
1.000000,8.000000,0.300000,1.000000,1.000000,50.000000,50.880787,0.000000,331.722443
1.050000,8.000000,0.300000,1.000000,1.000000,50.000000,50.860088,0.000000,331.762482
1.100000,8.000000,0.300000,1.000000,1.000000,50.000000,50.829071,0.000000,331.822540
1.150000,8.000000,0.300000,1.000000,1.000000,50.000000,50.803253,0.000000,331.872589
1.200000,8.000000,0.300000,1.000000,1.000000,50.000000,50.782616,0.000000,331.912628
1.250000,8.000000,0.300000,1.000000,1.000000,50.000000,50.751694,0.000000,331.972687
1.300000,8.000000,0.300000,1.000000,1.000000,50.000000,50.725952,0.000000,332.022736
1.350000,8.000000,0.300000,1.000000,1.000000,50.000000,50.700233,0.000000,332.072784
1.400000,8.000000,0.300000,1.000000,1.000000,50.000000,50.674545,0.000000,332.122833
1.450000,8.000000,0.300000,1.000000,1.000000,50.000000,50.643749,0.000000,332.182892
1.500000,8.000000,0.300000,1.000000,1.000000,50.000000,50.623241,0.000000,332.222931
1.550000,8.000000,0.300000,1.000000,1.000000,50.000000,50.592510,0.000000,332.282990
1.600000,8.000000,0.300000,1.000000,1.000000,50.000000,50.572041,0.000000,332.323029
1.650000,8.000000,0.300000,1.000000,1.000000,50.000000,50.541370,0.000000,332.383087
1.700000,8.000000,0.300000,1.000000,1.000000,50.000000,50.515839,0.000000,332.433136
1.750000,8.000000,0.300000,1.000000,1.000000,50.000000,50.495434,0.000000,332.473175
1.800000,8.000000,0.300000,1.000000,1.000000,50.000000,50.464855,0.000000,332.533234
1.850000,8.000000,0.300000,1.000000,1.000000,50.000000,50.439400,0.000000,332.583282
1.900000,8.000000,0.300000,1.000000,1.000000,50.000000,50.419056,0.000000,332.623322
1.950000,8.000000,0.300000,1.000000,1.000000,50.000000,50.388569,0.000000,332.683380
2.000000,8.000000,0.300000,1.000000,1.000000,50.000000,50.363190,0.000000,332.733429
2.050000,8.000000,0.300000,1.000000,1.000000,50.000000,50.337837,0.000000,332.783478
2.100000,8.000000,0.300000,1.000000,1.000000,50.000000,50.312511,0.000000,332.833527
2.150000,8.000000,0.300000,1.000000,1.000000,50.000000,50.282150,0.000000,332.893585
2.200000,8.000000,0.300000,1.000000,1.000000,50.000000,50.261929,0.000000,332.933624
2.250000,8.000000,0.300000,1.000000,1.000000,50.000000,50.231632,0.000000,332.993683
2.300000,8.000000,0.300000,1.000000,1.000000,50.000000,50.206409,0.000000,333.043732
2.350000,8.000000,0.300000,1.000000,1.000000,50.000000,50.186249,0.000000,333.083771
2.400000,8.000000,0.300000,1.000000,1.000000,50.000000,50.156044,0.000000,333.143829
