Time(s),temp_kp,temp_ki,temp_kd,temp_sw,temp_tar,temp_value,temp_current,timestamp
0.000000,60.000000,20.000000,5.000000,1.000000,46.299999,25.972857,9.670369,671.363770
0.020000,60.000000,20.000000,5.000000,1.000000,46.299999,26.012856,15.591978,671.383789
0.040000,60.000000,20.000000,5.000000,1.000000,46.299999,26.147158,23.754547,671.413818
0.060000,60.000000,20.000000,5.000000,1.000000,46.299999,26.298506,28.752861,671.433838
0.080000,60.000000,20.000000,5.000000,1.000000,46.299999,26.506575,33.423508,671.453857
0.100000,60.000000,20.000000,5.000000,1.000000,46.299999,26.775780,37.787964,671.473877
0.120000,60.000000,20.000000,5.000000,1.000000,46.299999,27.109213,41.866306,671.493896
0.140000,60.000000,20.000000,5.000000,1.000000,46.299999,27.508852,45.677292,671.513916
0.160000,60.000000,20.000000,5.000000,1.000000,46.299999,28.234554,50.930496,671.543945
0.180000,60.000000,20.000000,5.000000,1.000000,46.299999,28.510227,52.566147,671.553955
0.200000,60.000000,20.000000,5.000000,1.000000,46.299999,29.437761,57.153175,671.583984
0.220000,60.000000,20.000000,5.000000,1.000000,46.299999,30.138641,59.962021,671.604004
0.240000,60.000000,20.000000,5.000000,1.000000,46.299999,30.903950,62.586731,671.624023
0.260000,60.000000,20.000000,5.000000,1.000000,46.299999,31.731995,65.039375,671.644043
0.280000,60.000000,20.000000,5.000000,1.000000,46.299999,32.620869,67.331238,671.664062
0.300000,60.000000,20.000000,5.000000,1.000000,46.299999,34.063683,70.490425,671.694092
0.320000,60.000000,20.000000,5.000000,1.000000,46.299999,35.095345,72.424942,671.714111
0.340000,60.000000,20.000000,5.000000,1.000000,46.299999,36.180183,74.232635,671.734131
0.360000,60.000000,20.000000,5.000000,1.000000,46.299999,37.902084,76.724434,671.764160
0.380000,60.000000,20.000000,5.000000,1.000000,46.299999,38.500134,77.500282,671.774170
0.400000,60.000000,20.000000,5.000000,1.000000,46.299999,40.362514,79.676086,671.804199
0.420000,60.000000,20.000000,5.000000,1.000000,46.299999,41.658146,81.008438,671.824219
0.440000,60.000000,20.000000,5.000000,1.000000,46.299999,42.994446,82.253441,671.844238
0.460000,60.000000,20.000000,5.000000,1.000000,46.299999,44.369278,83.416824,671.864258
0.480000,60.000000,20.000000,5.000000,1.000000,46.299999,46.499264,85.020477,671.894287
0.500000,60.000000,20.000000,5.000000,1.000000,46.299999,47.961525,86.002472,671.914307
0.520000,60.000000,20.000000,5.000000,1.000000,46.299999,49.455395,86.920090,671.934326
0.540000,60.000000,20.000000,5.000000,1.000000,46.299999,50.979057,87.777550,671.954346
0.560000,60.000000,20.000000,5.000000,1.000000,46.299999,52.530792,88.578804,671.974365
0.580000,60.000000,20.000000,5.000000,1.000000,46.299999,54.907433,89.683281,672.004395
0.600000,60.000000,20.000000,5.000000,1.000000,46.299999,56.522285,90.359596,672.024414
0.620000,60.000000,20.000000,5.000000,1.000000,46.299999,57.985432,84.436020,672.044434
0.640000,60.000000,20.000000,5.000000,1.000000,46.299999,59.260845,78.900764,672.064453
0.660000,60.000000,20.000000,5.000000,1.000000,46.299999,60.372337,73.728378,672.084473
0.680000,60.000000,20.000000,5.000000,1.000000,46.299999,61.776962,66.598572,672.114502
0.700000,60.000000,20.000000,5.000000,1.000000,46.299999,62.563919,62.232662,672.134521
0.720000,60.000000,20.000000,5.000000,1.000000,46.299999,63.248901,58.152966,672.154541
0.740000,60.000000,20.000000,5.000000,1.000000,46.299999,63.557259,56.214535,672.164551
0.760000,60.000000,20.000000,5.000000,1.000000,46.299999,64.363022,50.778381,672.194580
0.780000,60.000000,20.000000,5.000000,1.000000,46.299999,64.813316,47.449577,672.214600
0.800000,60.000000,20.000000,5.000000,1.000000,46.299999,65.204330,44.338993,672.234619
0.820000,60.000000,20.000000,5.000000,1.000000,46.299999,65.695885,40.051250,672.264648
0.840000,60.000000,20.000000,5.000000,1.000000,46.299999,65.969536,37.425671,672.284668
0.860000,60.000000,20.000000,5.000000,1.000000,46.299999,66.206314,34.972214,672.304688
0.880000,60.000000,20.000000,5.000000,1.000000,46.299999,66.410896,32.679592,672.324707
0.900000,60.000000,20.000000,5.000000,1.000000,46.299999,66.587364,30.537264,672.344727
0.920000,60.000000,20.000000,5.000000,1.000000,46.299999,66.807022,27.584198,672.374756
0.940000,60.000000,20.000000,5.000000,1.000000,46.299999,66.869759,26.664724,672.384766
0.960000,60.000000,20.000000,5.000000,1.000000,46.299999,67.031143,24.086147,672.414795
0.980000,60.000000,20.000000,5.000000,1.000000,46.299999,67.119194,22.507166,672.434814
1.000000,60.000000,20.000000,5.000000,1.000000,46.299999,67.193909,21.031696,672.454834
