Time(s),temp_kp,temp_ki,temp_kd,temp_sw,temp_tar,temp_value,temp_current,timestamp
0.000000,5.000000,0.200000,1.000000,1.000000,45.000000,45.231499,7.427943,657.069824
0.050000,5.000000,0.200000,1.000000,1.000000,45.000000,45.236595,7.214445,657.109863
0.100000,5.000000,0.200000,1.000000,1.000000,45.000000,45.242580,6.842372,657.179932
0.150000,5.000000,0.200000,1.000000,1.000000,45.000000,45.244400,6.632133,657.219971
0.200000,5.000000,0.200000,1.000000,1.000000,45.000000,45.245079,6.322109,657.280029
0.250000,5.000000,0.200000,1.000000,1.000000,45.000000,45.243877,6.070196,657.330078
0.300000,5.000000,0.200000,1.000000,1.000000,45.000000,45.241829,5.873801,657.370117
0.350000,5.000000,0.200000,1.000000,1.000000,45.000000,45.237083,5.589156,657.430176
0.400000,5.000000,0.200000,1.000000,1.000000,45.000000,45.231709,5.362190,657.480225
0.450000,5.000000,0.200000,1.000000,1.000000,45.000000,45.225170,5.145497,657.530273
0.500000,5.000000,0.200000,1.000000,1.000000,45.000000,45.217556,4.939873,657.580322
0.550000,5.000000,0.200000,1.000000,1.000000,45.000000,45.207150,4.708711,657.640381
0.600000,5.000000,0.200000,1.000000,1.000000,45.000000,45.197529,4.529766,657.690430
0.650000,5.000000,0.200000,1.000000,1.000000,45.000000,45.189278,4.395942,657.730469
0.700000,5.000000,0.200000,1.000000,1.000000,45.000000,45.176086,4.211271,657.790527
0.750000,5.000000,0.200000,1.000000,1.000000,45.000000,45.164433,4.072496,657.840576
0.800000,5.000000,0.200000,1.000000,1.000000,45.000000,45.152264,3.947781,657.890625
0.850000,5.000000,0.200000,1.000000,1.000000,45.000000,45.139645,3.837347,657.940674
0.900000,5.000000,0.200000,1.000000,1.000000,45.000000,45.124012,3.723923,658.000732
0.950000,5.000000,0.200000,1.000000,1.000000,45.000000,45.113338,3.659975,658.040771
1.000000,5.000000,0.200000,1.000000,1.000000,45.000000,45.099781,3.593229,658.090820
1.050000,5.000000,0.200000,1.000000,1.000000,45.000000,45.083256,3.532484,658.150879
1.100000,5.000000,0.200000,1.000000,1.000000,45.000000,45.069336,3.497965,658.200928
1.150000,5.000000,0.200000,1.000000,1.000000,45.000000,45.058147,3.480839,658.240967
1.200000,5.000000,0.200000,1.000000,1.000000,45.000000,45.041325,3.472483,658.301025
1.250000,5.000000,0.200000,1.000000,1.000000,45.000000,45.027332,3.481230,658.351074
1.300000,5.000000,0.200000,1.000000,1.000000,45.000000,45.013409,3.504034,658.401123
1.350000,5.000000,0.200000,1.000000,1.000000,45.000000,44.999615,3.540642,658.451172
1.400000,5.000000,0.200000,1.000000,1.000000,60.000000,44.992329,11.414335,658.521240
1.450000,5.000000,0.200000,1.000000,1.000000,60.000000,45.511890,43.658867,658.571289
1.500000,5.000000,0.200000,1.000000,1.000000,60.000000,47.483574,64.615341,658.631348
1.550000,5.000000,0.200000,1.000000,1.000000,60.000000,49.323372,69.535477,658.671387
1.600000,5.000000,0.200000,1.000000,1.000000,60.000000,52.182999,68.169052,658.731445
1.650000,5.000000,0.200000,1.000000,1.000000,60.000000,54.267078,62.496159,658.781494
1.700000,5.000000,0.200000,1.000000,1.000000,60.000000,55.633904,56.742073,658.821533
1.750000,5.000000,0.200000,1.000000,1.000000,60.000000,57.195400,47.936596,658.881592
1.800000,5.000000,0.200000,1.000000,1.000000,60.000000,58.128384,41.345474,658.931641
1.850000,5.000000,0.200000,1.000000,1.000000,60.000000,58.929428,34.793953,658.991699
1.900000,5.000000,0.200000,1.000000,1.000000,60.000000,59.325912,31.256397,659.031738
1.950000,5.000000,0.200000,1.000000,1.000000,60.000000,59.713291,27.658939,659.081787
2.000000,5.000000,0.200000,1.000000,1.000000,60.000000,60.066486,24.334980,659.141846
2.050000,5.000000,0.200000,1.000000,1.000000,60.000000,60.296070,22.170893,659.191895
2.100000,5.000000,0.200000,1.000000,1.000000,60.000000,60.515335,20.001736,659.251953
2.150000,5.000000,0.200000,1.000000,1.000000,60.000000,60.660942,18.401917,659.302002
2.200000,5.000000,0.200000,1.000000,1.000000,60.000000,60.778477,16.913246,659.352051
2.250000,5.000000,0.200000,1.000000,1.000000,60.000000,60.871677,15.496324,659.402100
2.300000,5.000000,0.200000,1.000000,1.000000,60.000000,60.943504,14.130952,659.452148
2.350000,5.000000,0.200000,1.000000,1.000000,60.000000,60.996510,12.808264,659.502197
