Time(s),t,e,m,p,_,k,p,",",t,e,m,p,_,k,i,",",t,e,m,p,_,k,d,",",t,e,m,p,_,s,w,",",t,e,m,p,_,t,a,r,",",t,e,m,p,_,v,a,l,u,e,",",t,e,m,p,_,c,u,r,r,e,n,t,",",t,i,m,e,s,t,a,m,p
0.000000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.050000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.100000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.150000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.200000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.250000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.300000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.350000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.400000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.450000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.500000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.550000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.600000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.650000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.700000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.750000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.800000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.850000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.900000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
0.950000,20.000000,0.500000,0.300000,1.000000,40.000000,39.999012,5.475749,160.411118
