Time(s),temp_kp,temp_ki,temp_kd,temp_sw,temp_tar,temp_value,temp_current,timestamp
0.000000,8.000000,0.300000,1.000000,1.000000,45.000000,44.968082,7.369009,576.301025
0.050000,8.000000,0.300000,1.000000,1.000000,45.000000,44.976749,7.376540,576.361084
0.100000,8.000000,0.300000,1.000000,1.000000,45.000000,44.982517,7.372196,576.401123
0.150000,8.000000,0.300000,1.000000,1.000000,45.000000,44.991051,7.352312,576.461182
0.200000,8.000000,0.300000,1.000000,1.000000,45.000000,44.997967,7.324193,576.511230
0.250000,8.000000,0.300000,1.000000,1.000000,45.000000,45.004623,7.286394,576.561279
0.300000,8.000000,0.300000,1.000000,1.000000,45.000000,45.010967,7.239689,576.611328
0.350000,8.000000,0.300000,1.000000,1.000000,45.000000,45.018070,7.173170,576.671387
0.400000,8.000000,0.300000,1.000000,1.000000,45.000000,45.023506,7.110137,576.721436
0.450000,8.000000,0.300000,1.000000,1.000000,45.000000,45.027512,7.055449,576.761475
0.500000,8.000000,0.300000,1.000000,1.000000,45.000000,45.032913,6.967470,576.821533
0.550000,8.000000,0.300000,1.000000,1.000000,45.000000,45.036831,6.889796,576.871582
0.600000,8.000000,0.300000,1.000000,1.000000,45.000000,45.039566,6.825511,576.911621
0.650000,8.000000,0.300000,1.000000,1.000000,45.000000,45.042999,6.726659,576.971680
0.700000,8.000000,0.300000,1.000000,1.000000,45.000000,45.044842,6.659844,577.011719
0.750000,8.000000,0.300000,1.000000,1.000000,45.000000,45.046932,6.559382,577.071777
0.800000,8.000000,0.300000,1.000000,1.000000,45.000000,45.048069,6.476387,577.121826
0.850000,8.000000,0.300000,1.000000,1.000000,45.000000,45.048676,6.394904,577.171875
0.900000,8.000000,0.300000,1.000000,1.000000,45.000000,45.048771,6.315661,577.221924
0.950000,8.000000,0.300000,1.000000,1.000000,45.000000,45.048237,6.224504,577.281982
1.000000,8.000000,0.300000,1.000000,1.000000,45.000000,45.047516,6.166598,577.322021
1.050000,8.000000,0.300000,1.000000,1.000000,45.000000,45.045921,6.084744,577.382080
1.100000,8.000000,0.300000,1.000000,1.000000,45.000000,45.044151,6.021653,577.432129
1.150000,8.000000,0.300000,1.000000,1.000000,45.000000,45.042480,5.974833,577.472168
1.200000,8.000000,0.300000,1.000000,1.000000,45.000000,45.039581,5.911101,577.532227
1.250000,8.000000,0.300000,1.000000,1.000000,45.000000,45.036842,5.864292,577.582275
1.300000,8.000000,0.300000,1.000000,1.000000,45.000000,45.033855,5.823451,577.632324
1.350000,8.000000,0.300000,1.000000,1.000000,45.000000,45.030651,5.788737,577.682373
1.400000,8.000000,0.300000,1.000000,1.000000,45.000000,45.026581,5.755318,577.742432
1.450000,8.000000,0.300000,1.000000,1.000000,45.000000,45.023758,5.738060,577.782471
1.500000,8.000000,0.300000,1.000000,1.000000,45.000000,45.020138,5.722140,577.832520
1.550000,8.000000,0.300000,1.000000,1.000000,45.000000,45.015713,5.711221,577.892578
1.600000,8.000000,0.300000,1.000000,1.000000,45.000000,45.012737,5.708808,577.932617
1.650000,8.000000,0.300000,1.000000,1.000000,45.000000,45.008286,5.712277,577.992676
1.700000,8.000000,0.300000,1.000000,1.000000,60.000000,45.023571,15.149279,578.052734
1.750000,8.000000,0.300000,1.000000,1.000000,60.000000,46.045296,54.906841,578.112793
1.800000,8.000000,0.300000,1.000000,1.000000,60.000000,47.730358,70.414375,578.152832
1.850000,8.000000,0.300000,1.000000,1.000000,60.000000,50.768719,82.529984,578.202881
1.900000,8.000000,0.300000,1.000000,1.000000,60.000000,55.123478,84.664482,578.262939
1.950000,8.000000,0.300000,1.000000,1.000000,60.000000,57.651825,76.313690,578.302979
2.000000,8.000000,0.300000,1.000000,1.000000,60.000000,60.245453,58.410564,578.363037
2.050000,8.000000,0.300000,1.000000,1.000000,60.000000,61.443504,43.790607,578.413086
2.100000,8.000000,0.300000,1.000000,1.000000,60.000000,62.063820,31.263226,578.463135
2.150000,8.000000,0.300000,1.000000,1.000000,60.000000,62.342865,21.119484,578.513184
2.200000,8.000000,0.300000,1.000000,1.000000,60.000000,62.438293,13.087201,578.563232
2.250000,8.000000,0.300000,1.000000,1.000000,60.000000,62.445755,6.955076,578.623291
2.300000,8.000000,0.300000,1.000000,1.000000,60.000000,62.427547,4.563226,578.663330
2.350000,8.000000,0.300000,1.000000,1.000000,60.000000,62.395912,2.694539,578.713379
2.400000,8.000000,0.300000,1.000000,1.000000,60.000000,62.353279,1.431989,578.773438
2.450000,8.000000,0.300000,1.000000,1.000000,60.000000,62.323902,0.939528,578.813477
2.500000,8.000000,0.300000,1.000000,1.000000,60.000000,62.279408,0.499304,578.873535
2.550000,8.000000,0.300000,1.000000,1.000000,60.000000,62.234768,0.265350,578.933594
2.600000,8.000000,0.300000,1.000000,1.000000,60.000000,62.197567,0.156687,578.983643
2.650000,8.000000,0.300000,1.000000,1.000000,60.000000,62.160393,0.092522,579.033691
2.700000,8.000000,0.300000,1.000000,1.000000,60.000000,62.115826,0.049170,579.093750
2.750000,8.000000,0.300000,1.000000,1.000000,60.000000,62.086140,0.032260,579.133789
2.800000,8.000000,0.300000,1.000000,1.000000,60.000000,62.049068,0.019049,579.183838
